Q15019-2	SEPT2
Q9UH03	SEPT3
Q16181	SEPT7
P49588	AARS
Q5T4U5	ACADM
P24752	ACAT1
Q9BWD1	ACAT2
Q9UKV3	ACIN1
P53396	ACLY
Q99798	ACO2
O00154-4	ACOT7
P68133	ACTA1
P60709	ACTB
P63261	ACTG1
P12814-4	ACTN1
O43707	ACTN4
P61163	ACTR1A
P61160	ACTR2
P61158	ACTR3
P36896-4	ACVR1B
P27037	ACVR2A
P35611-6	ADD1
P35612	ADD2
B1ALU1	ADGRL2
E7EUW2	ADGRL3
P11766	ADH5
Q8N556-2	AFAP1
E7EUN2	AGAP1
P23526	AHCY
Q5T9B7	AK1
Q02952	AKAP12
Q9ULX6	AKAP8L
Q99996	AKAP9
P15121	AKR1B1
P02768	ALB
P54886	ALDH18A1
P49419-2	ALDH7A1
P04075-2	ALDOA
Q86V81	ALYREF
Q01484	ANK2
P07355	ANXA2
O95782	AP2A1
O94973-2	AP2A2
P63010-2	AP2B1
Q96CW1	AP2M1
O14617-5	AP3D1
Q06481-6	APLP2
P05067	APP
P07741	APRT
P48444	ARCN1
P84077	ARF1
P18085	ARF4
P84085	ARF5
Q9NWB6	ARGLU1
J3QQX2	ARHGDIA
P40616	ARL1
Q66PJ3	ARL6IP4
Q9NVJ2	ARL8B
Q92747	ARPC1A
O15145	ARPC3
P59998-3	ARPC4
P08243	ASNS
Q5SQI0	ATAT1
P31939	ATIC
P05023-4	ATP1A1
P13637-2	ATP1A3
P05026	ATP1B1
P16615	ATP2A2
P20020	ATP2B1
P23634	ATP2B4
P98194-7	ATP2C1
P25705	ATP5A1
P06576	ATP5B
P36542	ATP5C1
P30049	ATP5D
P24539	ATP5F1
O75947	ATP5H
P56385	ATP5I
P56134-2	ATP5J2
P48047	ATP5O
Q93050-3	ATP6V0A1
F5GYQ1	ATP6V0D1
P38606	ATP6V1A
P21281	ATP6V1B2
P36543	ATP6V1E1
Q9UI12	ATP6V1H
P46100	ATRX
Q9NWT8	AURKAIP1
O75531	BANF1
Q8IXM2-3	C17orf49
Q9UIG0	BAZ1B
P54687-5	BCAT1
Q9H8M2	BRD9
Q96K17	BTF3L4
Q7L1Q6-3	BZW1
Q8IYL3	C1orf174
Q07021	C1QBP
O43822-4	C21orf2
Q96GV9	C5orf30
Q13936-2	CACNA1C
P54289	CACNA2D1
Q02641	CACNB1
P54284	CACNB3
Q9BY67-3	CADM1
P62158	CALM3
Q9NZT1	CALML5
P27797	CALR
O43852-3	CALU
Q13554	CAMK2B
Q13557-11	CAMK2D
Q13555-6	CAMK2G
Q8NCB2	CAMKV
Q9P1Y5-2	CAMSAP3
Q86VP6	CAND1
P27824-2	CANX
Q01518	CAP1
P52907	CAPZA1
P47755	CAPZA2
P47756-2	CAPZB
P31944	CASP14
P04040	CAT
Q13185	CBX3
P45973	CBX5
Q8N163-2	CCAR2
Q96CT7	CCDC124
P78371	CCT2
P49368	CCT3
P50991	CCT4
P48643	CCT5
P40227	CCT6A
Q99832	CCT7
P50990	CCT8
P60953-1	CDC42
Q99459	CDC5L
P19022	CDH2
Q96SN8	CDK5RAP2
Q7Z7K6	CENPV
Q6ZU80	CEP128
Q9UPN4	CEP131
Q66GS9	CEP135
Q5SW79-3	CEP170
E7EWM2	CEP170
Q9BV73	CEP250
Q5VT06	CEP350
Q86XR8	CEP57
Q76N32	CEP68
P41208	CETN2
E9PK25	CFL1
Q9Y281	CFL2
Q96JM3	CHAMP1
Q14839-2	CHD4
D6W5Y5	CIRBP
Q07065	CKAP4
Q14008-3	CKAP5
P12277	CKB
Q7Z460-3	CLASP1
O00299	CLIC1
P09496-2	CLTA
Q00610	CLTC
Q8NFW8	CMAS
Q9BQ75	CMSS1
Q15417	CNN3
Q12860	CNTN1
P78357	CNTNAP1
Q8N137-2	CNTROB
P53621-2	COPA
P53618	COPB1
Q9Y678	COPG1
Q9UBF2	COPG2
Q9ULV4-3	CORO1C
Q9UQ03	CORO2B
Q14019	COTL1
P13073	COX4I1
P20674	COX5A
Q17RY0	CPEB4
Q99829	CPNE1
Q16630-2	CPSF6
Q8N684-3	CPSF7
P29762	CRABP1
P29373	CRABP2
Q96SW2	CRBN
P52943-2	CRIP2
Q14194-2	CRMP1
Q5TZA2	CROCC
O75390	CS
H7BYT1	CSNK1D
P49674	CSNK1E
U3KQB3	CSNK1G1
P78368	CSNK1G2
P68400	CSNK2A1
P35221-2	CTNNA1
P26232	CTNNA2
P35222	CTNNB1
O60716	CTNND1
Q9UQB3	CTNND2
P07339	CTSD
Q7LFL8	CXXC5
O00622	CYR61
Q9Y4D1	DAAM1
P14868	DARS
Q16643-3	DBN1
P11182	DBT
O15075	DCLK1
Q13561-2	DCTN2
O43602-3	DCX
O95865	DDAH2
Q16531	DDB1
P39656	DDOST
Q92499	DDX1
H3BLZ8	DDX17
Q9NVP1	DDX18
Q9NR30	DDX21
Q13838-2	DDX39B
O00571	DDX3X
Q9UJV9	DDX41
P17844	DDX5
Q9Y2R4	DDX52
Q9NY93	DDX56
P17661	DES
E7EWQ4	DGKI
Q9Y394	DHRS7
O43143	DHX15
Q08211	DHX9
P10515	DLAT
Q8TDM6	DLG5
P36957	DLST
P31689	DNAJA1
O60884	DNAJA2
O00429-6	DNM1L
Q9UQ16-4	DNM3
Q9C005	DPY30
Q16555	DPYSL2
Q14195-2	DPYSL3
O14531	DPYSL4
Q9BPU6	DPYSL5
Q08554	DSC1
Q02413	DSG1
P15924	DSP
E9PEB9	DST
P60981	DSTN
Q14204	DYNC1H1
Q9Y6G9	DYNC1LI1
P63167	DYNLL1
Q96FJ2	DYNLL2
Q9NP97	DYNLRB1
P63172	DYNLT1
E7EVH7	
P30084	ECHS1
O43854	EDIL3
P68104	EEF1A1
Q05639	EEF1A2
P24534	EEF1B2
P29692	EEF1D
P26641	EEF1G
P13639	EEF2
Q15029	EFTUD2
Q9H4M9	EHD1
P05198	EIF2S1
P20042	EIF2S2
P41091	EIF2S3
O15371	EIF3D
P60842	EIF4A1
Q14240-2	EIF4A2
P38919	EIF4A3
P55010	EIF5
P63241-2	EIF5A
Q15717-2	ELAVL1
Q14576	ELAVL3
P26378-3	ELAVL4
Q8N8S7-2	ENAH
P06733	ENO1
P09104	ENO2
P11171	EPB41
Q9H4G0	EPB41L1
Q9Y2J2-4	EPB41L3
Q9Y2J2	EPB41L3
Q9H329	EPB41L4B
Q9HCM4	EPB41L5
P29320	EPHA3
P54756	EPHA5
P07814	EPRS
Q8IUD2	ERC1
O15083	ERC2
P84090	ERH
Q8IV48	ERI1
P10768	ESD
P13804	ETFA
Q01469	FABP5
O95864	FADS2
Q9NSI2	FAM207A
Q5HYJ3	FAM76B
Q9Y4F1	FARP1
P49327	FASN
E9PR30	FAU
P22087	FBL
P35556	FBN2
Q9Y324	FCF1
P14324	FDPS
Q92913	FGF13
Q8TAT2	FGFBP3
O95684	FGFR1OP
P07954	FH
Q02790	FKBP4
Q5D862	FLG2
P21333	FLNA
Q14315	FLNC
O75955	FLOT1
Q14254	FLOT2
Q96PY5	FMNL2
Q06787	FMR1
Q14331	FRG1
Q9P2Q2	FRMD4A
Q16658	FSCN1
Q8IY81	FTSJ3
P35637	FUS
P51116	FXR2
P06241	FYN
Q9UN86	G3BP2
Q9UQC2	GAB2
Q14697-2	GANAB
P17677	GAP43
P04406	GAPDH
P41250	GARS
Q8TB36	GDAP1
P31150	GDI1
P50395	GDI2
Q04760	GLO1
P49448	GLUD2
Q49A26	GLYR1
P63096	GNAI1
P04899	GNAI2
P08754	GNAI3
P09471	GNAO1
P50148	GNAQ
Q5JWF2	GNAS
P62873	GNB1
P62879	GNB2
P63244	RACK1
P59768	GNG2
Q13823	GNL2
Q9BVP2	GNL3
Q08378	GOLGA3
Q9BRR8	GPATCH1
Q8N158	GPC2
P06744-2	GPI
P62993	GRB2
Q9Y3R0	GRIP1
P28799	GRN
Q12849	GRSF1
P09211	GSTP1
Q00403	GTF2B
P78347	GTF2I
O00178	GTPBP1
Q9BZE4	GTPBP4
P07305	H1F0
Q92522	H1FX
P16104	H2AFX
O75367	H2AFY
Q9P0M6	H2AFY2
P0C0S5	H2AFZ
P84243	H3F3B
