Entry	Gene names
P04637	TP53 P53
P08246	ELANE ELA2
P10275	AR DHTR NR3C4
P63244	RACK1 GNB2L1 HLC7 PIG21
Q14524	SCN5A
P00533	EGFR ERBB ERBB1 HER1
P35555	FBN1 FBN
P35222	CTNNB1 CTNNB OK/SW-cl.35 PRO2286
P00451	F8 F8C
P38398	BRCA1 RNF53
O95273	CCNDBP1 DIP1 GCIP HHM
P68871	HBB
Q96EB6	SIRT1 SIR2L1
Q12802	AKAP13 BRX HT31 LBC
Q05086	UBE3A E6AP EPVE6AP HPVE6A
P05067	APP A4 AD1
Q08379	GOLGA2
Q5S007	LRRK2 PARK8
P31749	AKT1 PKB RAC
P01137	TGFB1 TGFB
Q9NYL2	ZAK MLTK HCCS4
P35498	SCN1A NAC1 SCN1
P06213	INSR
P51787	KCNQ1 KCNA8 KCNA9 KVLQT1
P12931	SRC SRC1
P21802	FGFR2 BEK KGFR KSAM
P31947	SFN HME1
P01892	HLA-A HLAA
Q09160	HLA-A HLAA
P01889	HLA-B HLAB
P30461	HLA-B HLAB
P30466	HLA-B HLAB
Q95365	HLA-B HLAB
P30475	HLA-B HLAB
P30484	HLA-B HLAB
P30486	HLA-B HLAB
P30495	HLA-B HLAB
P10319	HLA-B HLAB
P30499	HLA-C HLAC
P04222	HLA-C HLAC
Q9TNN7	HLA-C HLAC
P30505	HLA-C HLAC
Q07000	HLA-C HLAC
Q15172	PPP2R5A
Q16537	PPP2R5E
Q13362	PPP2R5C KIAA0044
P63151	PPP2R2A
P20039	HLA-DRB1
P01911	HLA-DRB1 HLA-DRB2
P14060	HSD3B1 3BH HSDB3A
P46952	HAAO
P31937	HIBADH
O60516	EIF4EBP3
P28335	HTR2C HTR1C
P34969	HTR7
A0PJZ0	ANKRD20A5P ANKRD20A5
Q96IX9	ANKRD36BP1 ANKRD26L1
P08697	SERPINF2 AAP PLI
Q5T5F5	ADAMTSL4-AS1 C1orf138
P22760	AADAC DAC
Q9NRG9	AAAS ADRACALA GL003
Q9Y312	AAR2 C20orf4 CGI-23 PRO0225
P17174	GOT1
Q96GS6	ABHD17A C19orf27 FAM108A1
Q5VST6	ABHD17B C9orf77 FAM108B1 CGI-67
Q9UBJ2	ABCD2 ALD1 ALDL1 ALDR ALDRP
P61221	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40
Q8NE71	ABCF1 ABC50
Q9UG63	ABCF2 HUSSY-18
Q0P651	ABHD18 C4orf29
Q9H3Z7	ABHD16B C20orf135
Q9NYB9	ABI2 ARGBPIA
Q9BR61	ACBD6
Q5FVE4	ACSBG2 BGR UNQ2443/PRO5005
Q709F0	ACAD11
P02708	CHRNA1 ACHRA CHNRA
