ERG1:  SQLE KCNH2
SPK:  SPHK1 SYMPK
ART4:  ART4 NOB1
RLF:  INSL3 RLF
GALA4A:  GLT8D1 GLT8D2
CCL4L:  CCL4L1 CCL4L2
HIN1:  OTUD4 SCGB3A1
PDK1:  PDK1 PDPK1
FHOD3:  FHOD3 FMNL3
GJC1:  GJD3 GJC1
HMT1:  ALG1 PRMT2
SLC17A2:  SLC34A1 SLC17A2
ST7:  LRP12 ST7
ACBP:  CPN1 CPN2
STP:  TRIP10 SULT1A1
DRC1:  CRNN DRC1
BRIP1:  BRIP1 MRPL36
HSTF2:  FGF6 HSF2
HSTF1:  FGF4 HSF1
APM1:  ADIPOQ ZBTB7C
LRRN4:  LRCH4 LRRN4
LRRN2:  LRRN2 LRRTM2
LRRN1:  LRCH4 LRRN1
GAGE2:  GAGE2A GAGE2B
DIP1:  CCNDBP1 MIB1
PRG5:  PLPPR5 WFDC5
TTG2:  LMO2 TRABD
U2AF1L4:  IGFLR1 U2AF1L4
C11orf4:  GPR137 MRPL49
LAMB2:  LAMB2 LAMC1
MGA:  MGA MGAM
CFAG:  S100A8 S100A9
HN1L:  CRAMP1 HN1L
OCT6:  POU3F1 SLC22A16
OCT2:  POU2F2 SLC22A2
OCT3:  POU5F1 SLC22A3
OCT1:  POU2F1 SLC22A1
CPN1:  CPN1 CPNE1
IL20:  IL17B IL20
IL25:  IL25 MYDGF
SDH:  SDHB SDS
PAR2:  F2RL1 SLC52A1
HSD3:  HSD11B1L SPATA7
SERF1:  SERF1A SERF1B
NAT5:  NAA20 NAA50
KSP37:  FGFBP2 TMEM72
ALG2:  ALG2 PDCD6
PDX1:  PDHX PDX1
DLP1:  PDSS2 DNM1L
SNRPD1:  SNRPD1 SNRPD2
CAPS2:  CADPS2 CAPS2
WDR11:  PHIP WDR11
LY6G6D:  LY6G6D LY6G6F
LPAP:  ACP6 PTPRCAP
CHP1:  CHP1 CHORDC1
CALM:  CALM1 PICALM
TRYP2:  GZMK PRSS2
ZNT8:  SLC30A10 SLC30A8
CLIM1:  LDB2 PDLIM1
USP17L:  USP17L1 USP17L2 USP17L24
USP17J:  USP17L2 USP17L24
USP17K:  USP17L2 USP17L24
USP17H:  USP17L2 USP17L24
USP17I:  USP17L2 USP17L24
SKI1:  HHAT MBTPS1
SKIP:  INPP5K PLEKHM2 SNW1 SPHKAP
PAP:  PAPOLA REG3A
PAM:  PAM MYCBP2
CDH20:  CDH20 PCDHGB4
CREB2:  ATF2 ATF4
DC7:  MOGAT3 VPS29
DC5:  MOGAT2 GINS2
DC2:  MOGAT1 OSTC
DC3:  DGAT2L6 METTL5
ALDR1:  AKR1A1 AKR1B1
TRX2:  KMT2B TXN2
TRX1:  KMT2A TXN
UBCH8:  UBE2E2 UBE2L6
PRSSL1:  KLK10 PRSS57
ARD1:  NAA10 PPP1R8 TRIM23
DDAH:  DDAH1 DDAH2
SRBC:  CD2 PRKCDBP
BCD1:  ZNHIT6 KLF6
CMK:  CXCL9 CMPK1
RIF1:  INSL6 LRIF1 RIF1
PIG12:  PTGES ZSCAN9
ERG:  ERG KCNH2
RD:  ERMAP NELFE
CA5B:  CA5BP1 CA5B
PNMT:  PEMT PNMT
HST:  FGF4 SULT2A1
CTSO:  CTSK CTSO
GNN:  NT5DC3 TTC41P
NAC2:  NACC2 SCN2A
NAC1:  NACC1 SCN1A
USP10:  USP10 USP32
USP17:  USP17L2 USP17L24
TAP2:  SEC14L3 TAP2
KLC2:  KLC2 KLC3
CDH14:  CDH15 CDH18
HPP1:  TMEFF2 NAE1
FCRL1:  FCRL1 FCRLA
FCRL2:  FCRL2 FCRLB
RRP1:  RPLP1 RRP1
ECO:0000303|Ref.7}:  IGHV1-2 IGHV3-7
ACAT2:  SOAT2 ACAT2
T1:  IL1RL1 TRAPPC9
RAF:  RAF1 ZHX2
HSST2:  NDST2 SULT2B1
NECC1:  HOPX JAKMIP2
MMP20:  MMP20 MMP25
PAT1:  APPBP2 SLC36A1
B3GNT6:  B3GNT6 B4GAT1
HRAS1:  HRAS NRAS
CACH1:  ACOT12 CACNA1S
TIM:  ARHGEF5 TIMELESS
MPS1:  RPS27 TTK
DRC3:  DRC3 EPS8L1
PRPH:  PRPH PRPH2
MTCP1:  CMC4 MTCP1
MCT4:  SLC16A3 SLC16A4
MCT5:  SLC16A4 SLC16A5
MCT6:  SLC16A5 SLC16A6
MCT1:  MCTS1 SLC16A1
KLK3:  KLK3 KLKB1
RHBDL4:  RHBDL3 RHBDD1
PCM1:  MBD1 PCM1
AMPK:  PRKAB1 PRKAA2
NBC:  SLC4A4 SLC4A8
EMILIN3:  EMILIN3 MMRN2
GST2:  GSTA2 MGST2
BAP1:  BAP1 MAGI1 RNF2
CEP110:  CNTRL CCP110
PGC1:  PPARGC1A PPARGC1B
PCDH11:  PCDH11X PCDH11Y
CHSY3:  CHPF2 CHSY3
RIP:  AGFG1 RIPK1 RPAIN VPRBP
RIG:  DIRAS1 RIG RPS15
TCL1:  TCL1A TCL1B
FOP:  CHTOP FGFR1OP
IL1E:  IL36A IL36G
DSC3:  DSC2 DSC3
FPS:  FES FDPS
TAP:  FLNB NXF1
TAL:  LRSAM1 TALDO1
HCP:  AMBP PTPN6 HRC
MIP1:  MAPKAP1 TNPO1
FSP2:  CABYR SPAST
PPARGC1:  PPARGC1A PPARGC1B
VARS2:  VARS VARS2
CDKN3:  CDK3 CDKN3
CDKN2:  CDKN2A CDK2
CDKN1:  CDK1 CDKN1A
CDKN6:  CDK6 CDKN2C
MAGEE1:  MAGEC2 MAGED4 MAGEE1
SNX30:  SNX30 SNX33
PRMT9:  PRMT9 FBXO11
ORP1:  OSBPL1A RP1
NOS1:  NANOS1 NOS1
CHS1:  LYST VPS13B
RFC1:  RFC1 SLC19A1
SNURF:  RNF4 SNURF
HSP60:  HSPD1 HSPA14
CDH19:  CDH19 DCHS1
MBP:  MBP PRG2
MB1:  CD79A PSMB5
PRAF1:  RABAC1 POLR1E
TTG1:  ODR4 LMO1
SRA1:  SCAF1 SRA1
SOLO:  ARHGEF40 SESTD1
RZF:  RNF13 ZNF385A
CHN:  CHN1 NR4A3
CIP1:  CDKN1A SLC12A9
